iter	Passed	Remaining
0	147	147119
1	151	75437
2	155	51707
3	159	39706
4	163	32509
5	167	27680
6	171	24281
7	175	21719
8	178	19650
9	181	17923
10	184	16550
11	186	15316
12	187	14271
13	189	13368
14	191	12567
15	192	11863
16	194	11241
17	195	10688
18	197	10188
19	198	9733
20	199	9320
21	201	8944
22	202	8595
23	203	8274
24	204	7978
25	205	7706
26	206	7452
27	207	7216
28	208	6990
29	209	6779
30	210	6585
31	211	6403
32	212	6230
33	213	6065
34	214	5910
35	215	5761
36	215	5621
37	216	5488
38	217	5361
39	218	5241
40	219	5126
41	219	5017
42	220	4913
43	221	4813
44	222	4718
45	223	4627
46	223	4540
47	224	4459
48	225	4379
49	226	4302
50	227	4228
51	228	4157
52	228	4089
53	229	4023
54	230	3959
55	231	3898
56	232	3839
57	232	3782
58	233	3726
59	234	3673
60	235	3621
61	236	3571
62	236	3522
63	237	3476
64	238	3434
65	239	3390
66	240	3346
67	240	3300
68	241	3259
69	242	3219
70	243	3181
71	243	3144
72	244	3108
73	245	3072
74	246	3037
75	247	3004
76	247	2972
77	248	2939
78	249	2908
79	250	2878
80	251	2849
81	251	2820
82	252	2792
83	253	2765
84	254	2735
85	254	2710
86	255	2681
87	256	2656
88	257	2632
89	257	2608
90	258	2584
91	259	2561
92	260	2538
93	261	2516
94	261	2494
95	262	2473
96	263	2452
97	264	2432
98	265	2412
99	265	2392
100	266	2373
101	267	2352
102	267	2333
103	268	2315
104	269	2297
105	270	2280
106	271	2262
107	271	2245
108	272	2229
109	273	2212
110	274	2196
111	275	2180
112	275	2165
113	276	2149
114	277	2134
115	278	2118
116	278	2104
117	279	2090
118	280	2075
119	281	2061
120	281	2048
121	282	2034
122	283	2019
123	283	2005
124	284	1993
125	285	1980
126	286	1967
127	286	1954
128	287	1942
129	288	1930
130	289	1918
131	290	1907
132	290	1896
133	291	1884
134	292	1873
135	293	1863
136	294	1852
137	294	1841
138	295	1830
139	296	1820
140	297	1810
141	297	1800
142	298	1790
143	299	1780
144	300	1771
145	301	1761
146	302	1756
147	303	1748
148	304	1740
149	305	1731
150	306	1722
151	307	1713
152	308	1708
153	310	1703
154	311	1696
155	312	1689
156	313	1682
157	314	1673
158	314	1665
159	315	1657
160	316	1649
161	317	1641
162	318	1633
163	318	1625
164	319	1617
165	320	1610
166	321	1602
167	322	1594
168	322	1587
169	323	1580
170	324	1573
171	325	1566
172	326	1559
173	327	1553
174	327	1546
175	328	1539
176	329	1532
177	330	1525
178	331	1518
179	331	1512
180	332	1503
181	333	1497
182	334	1491
183	334	1485
184	335	1479
185	336	1472
186	337	1466
187	338	1460
188	338	1454
189	339	1448
190	340	1442
191	341	1436
192	342	1431
193	343	1425
194	343	1419
195	344	1413
196	345	1408
197	346	1402
198	346	1396
199	347	1391
200	348	1385
201	349	1380
202	350	1374
203	350	1369
204	351	1363
205	352	1358
206	353	1353
207	354	1348
208	354	1343
209	355	1338
210	356	1333
211	357	1328
212	358	1322
213	358	1318
214	359	1313
215	360	1308
216	361	1304
217	362	1299
218	363	1294
219	363	1289
220	364	1285
221	365	1280
222	366	1275
223	366	1271
224	367	1266
225	368	1261
226	369	1257
227	370	1253
228	370	1248
229	371	1244
230	372	1239
231	373	1235
232	374	1231
233	374	1226
234	375	1222
235	376	1218
236	377	1214
237	377	1210
238	378	1205
239	379	1201
240	380	1197
241	381	1193
242	381	1189
243	382	1185
244	383	1181
245	384	1177
246	384	1173
247	385	1169
248	386	1165
249	387	1161
250	388	1157
251	388	1154
252	389	1150
253	390	1146
254	391	1142
255	392	1139
256	392	1135
257	393	1132
258	394	1128
259	395	1124
260	395	1121
261	396	1117
262	397	1113
263	398	1110
264	399	1106
265	399	1103
266	400	1100
267	401	1096
268	402	1093
269	403	1089
270	403	1086
271	404	1083
272	405	1079
273	406	1076
274	407	1073
275	407	1069
276	408	1066
277	409	1063
278	410	1060
279	411	1056
280	411	1053
281	412	1050
282	413	1047
283	414	1044
284	414	1040
285	415	1037
286	416	1034
287	417	1031
288	418	1028
289	418	1025
290	419	1022
291	420	1019
292	421	1016
293	422	1013
294	422	1010
295	423	1007
296	424	1004
297	425	1001
298	426	998
299	426	995
300	427	993
301	428	990
302	429	988
303	430	986
304	432	984
305	433	982
306	434	980
307	434	977
308	435	974
309	436	971
310	437	968
311	438	966
312	438	963
313	439	960
314	440	957
315	441	955
316	442	952
317	443	950
318	443	947
319	444	944
320	445	942
321	446	939
322	446	936
323	447	934
324	448	931
325	449	928
326	450	926
327	450	923
328	451	921
329	452	918
330	453	916
331	454	913
332	454	911
333	455	908
334	456	906
335	457	903
336	458	901
337	458	898
338	459	896
339	460	894
340	461	891
341	462	889
342	462	886
343	463	884
344	464	881
345	465	879
346	466	877
347	466	874
348	467	872
349	468	869
350	469	867
351	469	865
352	470	862
353	471	860
354	472	858
355	473	855
356	473	853
357	474	851
358	475	848
359	476	846
360	476	844
361	477	841
362	478	839
363	479	837
364	480	835
365	480	832
366	481	830
367	482	828
368	483	826
369	484	824
370	485	822
371	486	820
372	486	818
373	487	816
374	488	814
375	489	812
376	490	810
377	490	807
378	491	805
379	492	803
380	493	801
381	494	799
382	494	797
383	495	795
384	496	793
385	497	791
386	498	788
387	498	786
388	499	784
389	500	782
390	501	780
391	502	778
392	503	777
393	504	775
394	505	774
395	506	772
396	506	770
397	507	767
398	508	766
399	509	764
400	510	762
401	511	760
402	511	758
403	512	756
404	513	754
405	514	752
406	515	750
407	515	748
408	516	746
409	517	744
410	518	742
411	519	741
412	520	739
413	520	737
414	521	735
415	522	733
416	523	732
417	524	730
418	525	728
419	526	727
420	527	725
421	528	723
422	528	721
423	529	719
424	530	717
425	531	716
426	532	714
427	533	712
428	533	710
429	534	708
430	535	706
431	536	705
432	537	703
433	537	701
434	538	699
435	539	697
436	540	695
437	541	694
438	541	692
439	542	690
440	543	688
441	544	687
442	545	685
